"id","category","type","declared_learn_sources","special_system","mechanism_hints"
"veeveevolley","Physical","Normal","","","custom-callback-review;settlement"
"venomdrench","Status","Poison","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review"
"venoshock","Special","Poison","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement"
"victorydance","Status","Fighting","implemented:level","","state"
"vinewhip","Physical","Grass","data-only:level;implemented:egg;implemented:level","","settlement"
"visegrip","Physical","Normal","data-only:level;implemented:level","","settlement"
"vitalthrow","Physical","Fighting","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement;timing"
"voltswitch","Special","Electric","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement;switch"
"volttackle","Physical","Electric","implemented:tm;implemented:tutor","","health-operation;settlement;state"
"wakeupslap","Physical","Fighting","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"waterfall","Physical","Water","data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"watergun","Special","Water","data-only:level;implemented:legacy;implemented:level;implemented:tm","","settlement"
"waterpledge","Special","Water","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"waterpulse","Special","Water","data-only:egg;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"watershuriken","Special","Water","implemented:level","","custom-callback-review;settlement;timing"
"watersport","Status","Water","data-only:level;implemented:egg;implemented:level;implemented:special","","field"
"waterspout","Special","Water","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"wavecrash","Physical","Water","implemented:egg;implemented:level","","health-operation;settlement"
"weatherball","Special","Normal","data-only:egg;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement"
"whirlpool","Special","Water","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"whirlwind","Status","Normal","data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","switch;timing"
"wickedblow","Physical","Dark","data-only:level","","settlement"
"wickedtorque","Physical","Dark","","","settlement;state"
"wideguard","Status","Rock","data-only:level;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;field;timing"
"wildboltstorm","Special","Electric","data-only:level","","custom-callback-review;settlement;state"
"wildcharge","Physical","Electric","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","health-operation;settlement"
"willowisp","Status","Fire","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","state"
"wingattack","Physical","Flying","data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement"
"wish","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:special","",""
"withdraw","Status","Water","data-only:level;implemented:level","","state"
"wonderroom","Status","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","field"
"woodhammer","Physical","Grass","data-only:level;implemented:egg;implemented:level","","health-operation;settlement"
"workup","Status","Normal","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"worryseed","Status","Grass","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"wrap","Physical","Normal","data-only:level;implemented:egg;implemented:level","","settlement;state"
"wringout","Special","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"xscissor","Physical","Bug","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement"
"yawn","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:special;implemented:tm","","custom-callback-review;state"
"zapcannon","Special","Electric","data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"zenheadbutt","Physical","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"zingzap","Physical","Electric","implemented:level","","settlement;state"
"zippyzap","Physical","Electric","","","settlement;state;timing"
